ts,o,h,l,c
2021/01/28,15.26600000,17.96100000,14.84900000,16.89200000
2021/01/29,16.89800000,17.49200000,16.01000000,17.02500000
2021/01/30,17.02400000,18.66000000,16.38900000,17.85900000
2021/01/31,17.87000000,19.60000000,17.06700000,17.19400000
2021/02/01,17.19700000,17.90200000,16.81700000,17.54000000
2021/02/02,17.54000000,17.57100000,16.37900000,17.03200000
2021/02/03,17.05700000,18.00200000,16.81000000,17.12900000
2021/02/04,17.12900000,21.16900000,16.49000000,19.64400000
2021/02/05,19.66100000,23.68700000,19.51800000,23.61000000
2021/02/06,23.61500000,24.24600000,19.63700000,21.07000000
2021/02/07,21.02700000,21.49100000,17.88800000,20.05100000
2021/02/08,20.09000000,22.37000000,19.52300000,21.33100000
2021/02/09,21.32000000,27.40000000,20.80000000,24.61800000
2021/02/10,24.61800000,27.70000000,23.03200000,25.07800000
2021/02/11,25.08400000,26.82500000,24.35000000,26.08600000
2021/02/12,26.12900000,28.24500000,25.25000000,27.13200000
2021/02/13,27.14200000,28.10000000,24.62100000,26.35300000
2021/02/14,26.39900000,28.98100000,24.30100000,25.02000000
2021/02/15,25.04900000,26.91000000,21.00000000,24.59700000
2021/02/16,24.61000000,26.50000000,23.13400000,24.07200000
2021/02/17,24.07400000,24.52500000,22.22100000,24.25500000
2021/02/18,24.29300000,24.63700000,22.76900000,23.15500000
2021/02/19,23.18400000,23.60000000,21.41800000,22.29200000
2021/02/20,22.29900000,25.52900000,21.35300000,23.19400000
2021/02/21,23.15400000,23.69700000,22.18100000,22.82800000
2021/02/22,22.83500000,22.92800000,17.30000000,20.99200000
2021/02/23,21.00800000,21.17000000,13.90000000,18.15800000
2021/02/24,18.18200000,20.92900000,17.26700000,19.16000000
2021/02/25,19.15300000,21.97900000,18.13400000,18.30900000
2021/02/26,18.30800000,19.86200000,16.88000000,17.99700000
2021/02/27,18.01800000,20.41000000,17.94300000,18.78400000
2021/02/28,18.78900000,19.31100000,16.29000000,18.72700000
2021/03/01,18.71900000,21.14700000,18.71800000,20.67100000
2021/03/02,20.68600000,23.36000000,20.66500000,22.45000000
2021/03/03,22.45900000,24.06800000,22.09500000,22.53800000
2021/03/04,22.55600000,24.39000000,21.12300000,21.47300000
2021/03/05,21.46700000,21.47300000,20.03600000,20.74500000
2021/03/06,20.73800000,21.43400000,20.11100000,21.24400000
2021/03/07,21.27200000,21.78200000,20.51300000,21.73000000
2021/03/08,21.72200000,21.92500000,20.71900000,21.87300000
2021/03/09,21.89000000,22.75200000,21.38800000,22.65900000
2021/03/10,22.62900000,23.39600000,21.35400000,21.60900000
2021/03/11,21.62200000,22.30500000,20.68700000,20.82000000
2021/03/12,20.82700000,20.98800000,18.83000000,19.45300000
2021/03/13,19.47100000,20.86400000,18.80500000,20.46900000
2021/03/14,20.48800000,20.57900000,19.18500000,19.39500000
2021/03/15,19.39300000,19.98000000,18.20200000,18.91900000
2021/03/16,18.91900000,19.14700000,18.11700000,18.72700000
2021/03/17,18.73000000,19.29700000,17.81900000,19.20300000
2021/03/18,19.22000000,19.44200000,18.51100000,18.55200000
2021/03/19,18.56700000,20.41200000,18.17500000,19.87100000
2021/03/20,19.85500000,21.47100000,19.76300000,19.79200000
2021/03/21,19.81400000,20.08100000,19.08600000,19.52300000
2021/03/22,19.52100000,20.02200000,17.74700000,18.02700000
2021/03/23,18.02400000,18.32800000,17.22100000,17.42200000
2021/03/24,17.42200000,18.25500000,15.52800000,16.09500000
2021/03/25,16.10700000,17.06700000,15.41900000,16.12000000
