ts,o,h,l,c
2020/04/18,170.61000000,189.54000000,170.48000000,187.40000000
2020/04/19,187.40000000,188.35000000,175.75000000,180.03000000
2020/04/20,180.02000000,186.46000000,166.70000000,170.20000000
2020/04/21,170.21000000,174.70000000,168.00000000,170.74000000
2020/04/22,170.73000000,184.00000000,169.78000000,182.70000000
2020/04/23,182.70000000,193.63000000,178.16000000,185.51000000
2020/04/24,185.57000000,189.80000000,184.72000000,187.59000000
2020/04/25,187.60000000,198.36000000,185.76000000,194.21000000
2020/04/26,194.21000000,200.00000000,192.30000000,197.38000000
2020/04/27,197.39000000,199.05000000,189.29000000,196.34000000
2020/04/28,196.33000000,198.50000000,192.36000000,196.24000000
2020/04/29,196.24000000,218.77000000,196.22000000,215.36000000
2020/04/30,215.40000000,227.30000000,202.00000000,206.08000000
2020/05/01,206.07000000,217.14000000,205.91000000,212.02000000
2020/05/02,212.01000000,215.37000000,210.36000000,213.90000000
2020/05/03,213.89000000,219.30000000,203.92000000,209.86000000
2020/05/04,209.86000000,210.65000000,194.88000000,206.48000000
2020/05/05,206.47000000,211.68000000,201.00000000,205.29000000
2020/05/06,205.30000000,210.77000000,197.71000000,198.97000000
2020/05/07,198.92000000,215.10000000,196.43000000,212.00000000
2020/05/08,212.01000000,216.61000000,206.90000000,211.31000000
2020/05/09,211.32000000,214.60000000,208.40000000,210.07000000
2020/05/10,210.09000000,210.18000000,179.59000000,187.54000000
2020/05/11,187.62000000,193.50000000,176.00000000,185.73000000
2020/05/12,185.80000000,192.24000000,185.48000000,189.76000000
2020/05/13,189.77000000,201.00000000,188.35000000,199.58000000
2020/05/14,199.61000000,206.02000000,195.67000000,203.29000000
2020/05/15,203.29000000,204.08000000,191.66000000,194.86000000
2020/05/16,194.87000000,203.50000000,193.21000000,200.45000000
2020/05/17,200.44000000,209.85000000,199.68000000,207.00000000
2020/05/18,207.02000000,217.07000000,207.00000000,214.91000000
2020/05/19,214.92000000,215.95000000,209.45000000,214.58000000
2020/05/20,214.60000000,215.75000000,204.27000000,209.98000000
