ts,o,h,l,c
2020/04/29,7738.58000000,8952.89000000,7710.05000000,8778.57000000
2020/04/30,8778.58000000,9460.00000000,8401.00000000,8620.00000000
2020/05/01,8620.00000000,9059.18000000,8613.56000000,8826.96000000
2020/05/02,8825.67000000,9010.00000000,8753.00000000,8972.05000000
2020/05/03,8972.58000000,9200.00000000,8712.00000000,8894.16000000
2020/05/04,8894.15000000,8950.00000000,8522.00000000,8871.96000000
2020/05/05,8871.92000000,9118.58000000,8760.00000000,9021.83000000
2020/05/06,9021.36000000,9395.00000000,8906.21000000,9142.92000000
2020/05/07,9143.40000000,10067.00000000,9021.00000000,9986.40000000
2020/05/08,9986.30000000,10035.96000000,9705.00000000,9800.01000000
2020/05/09,9800.02000000,9914.25000000,9520.00000000,9539.40000000
2020/05/10,9539.10000000,9574.83000000,8117.00000000,8722.77000000
2020/05/11,8722.77000000,9168.00000000,8200.00000000,8561.52000000
2020/05/12,8562.04000000,8978.26000000,8528.78000000,8810.79000000
2020/05/13,8810.99000000,9398.00000000,8792.99000000,9309.37000000
2020/05/14,9309.35000000,9939.00000000,9256.76000000,9791.98000000
2020/05/15,9791.97000000,9845.62000000,9150.00000000,9316.42000000
2020/05/16,9315.96000000,9588.00000000,9220.00000000,9381.27000000
2020/05/17,9380.81000000,9888.00000000,9322.10000000,9680.04000000
2020/05/18,9681.11000000,9950.00000000,9464.23000000,9733.93000000
2020/05/19,9733.93000000,9897.21000000,9474.00000000,9775.53000000
2020/05/20,9775.13000000,9842.00000000,9326.00000000,9511.43000000
2020/05/21,9511.43000000,9578.47000000,8815.00000000,9068.65000000
2020/05/22,9067.51000000,9271.00000000,8933.52000000,9170.00000000
2020/05/23,9170.00000000,9307.85000000,9070.00000000,9179.15000000
2020/05/24,9179.01000000,9298.00000000,8700.00000000,8720.34000000
2020/05/25,8718.14000000,8979.66000000,8642.72000000,8900.35000000
2020/05/26,8900.35000000,9017.67000000,8700.00000000,8841.18000000
2020/05/27,8841.00000000,9225.00000000,8811.73000000,9204.07000000
2020/05/28,9204.07000000,9625.47000000,9110.00000000,9575.89000000
2020/05/29,9575.87000000,9605.26000000,9330.00000000,9427.07000000
2020/05/30,9426.60000000,9740.00000000,9331.23000000,9697.72000000
2020/05/31,9697.72000000,9700.00000000,9381.41000000,9448.27000000
2020/06/01,9448.27000000,10380.00000000,9421.67000000,10200.77000000
2020/06/02,10202.71000000,10228.99000000,9266.00000000,9518.04000000
2020/06/03,9518.02000000,9690.00000000,9365.21000000,9666.24000000
2020/06/04,9666.32000000,9881.63000000,9450.00000000,9789.06000000
2020/06/05,9788.14000000,9854.75000000,9581.00000000,9621.16000000
2020/06/06,9621.17000000,9735.00000000,9531.05000000,9666.30000000
2020/06/07,9666.85000000,9802.00000000,9372.46000000,9746.99000000
2020/06/08,9746.99000000,9800.00000000,9633.00000000,9782.01000000
2020/06/09,9782.00000000,9877.00000000,9570.00000000,9772.43000000
2020/06/10,9772.44000000,9992.72000000,9704.18000000,9885.00000000
2020/06/11,9885.22000000,9964.00000000,9113.00000000,9280.40000000
2020/06/12,9278.88000000,9557.12000000,9232.51000000,9465.13000000
2020/06/13,9464.96000000,9494.73000000,9351.00000000,9473.34000000
2020/06/14,9473.34000000,9480.99000000,9245.00000000,9342.10000000
2020/06/15,9342.10000000,9495.00000000,8910.45000000,9426.02000000
2020/06/16,9426.05000000,9589.00000000,9373.09000000,9525.59000000
2020/06/17,9526.97000000,9565.00000000,9236.61000000,9465.14000000
2020/06/18,9465.13000000,9489.00000000,9280.00000000,9386.32000000
2020/06/19,9386.32000000,9438.30000000,9215.79000000,9310.23000000
2020/06/20,9310.23000000,9395.00000000,9170.95000000,9358.95000000
2020/06/21,9358.95000000,9422.00000000,9281.54000000,9294.69000000
2020/06/22,9294.69000000,9780.00000000,9277.09000000,9685.69000000
2020/06/23,9685.69000000,9720.00000000,9577.03000000,9624.89000000
2020/06/24,9624.33000000,9670.00000000,9208.00000000,9296.49000000
2020/06/25,9298.33000000,9340.00000000,9009.69000000,9249.49000000
2020/06/26,9249.49000000,9298.00000000,9045.45000000,9162.21000000
2020/06/27,9162.21000000,9196.24000000,8833.00000000,9012.00000000
2020/06/28,9012.00000000,9191.00000000,8948.06000000,9116.35000000
2020/06/29,9116.16000000,9238.00000000,9024.67000000,9192.56000000
2020/06/30,9192.93000000,9205.00000000,9064.89000000,9138.55000000
2020/07/01,9138.08000000,9292.00000000,9080.10000000,9232.00000000
2020/07/02,9231.99000000,9261.96000000,8940.00000000,9086.54000000
2020/07/03,9086.54000000,9125.00000000,9037.47000000,9058.26000000
2020/07/04,9057.79000000,9190.00000000,9040.04000000,9135.46000000
2020/07/05,9135.00000000,9145.24000000,8893.03000000,9069.41000000
2020/07/06,9069.41000000,9375.00000000,9055.92000000,9344.20000000
2020/07/07,9342.47000000,9379.42000000,9203.00000000,9257.39000000
2020/07/08,9257.40000000,9470.00000000,9231.00000000,9436.06000000
2020/07/09,9436.06000000,9440.79000000,9160.00000000,9232.43000000
2020/07/10,9232.42000000,9317.48000000,9125.00000000,9288.34000000
2020/07/11,9288.34000000,9299.28000000,9178.25000000,9234.03000000
2020/07/12,9234.02000000,9345.00000000,9157.50000000,9302.75000000
2020/07/13,9303.31000000,9343.82000000,9200.89000000,9242.62000000
2020/07/14,9242.61000000,9279.54000000,9113.00000000,9255.85000000
2020/07/15,9255.85000000,9276.49000000,9160.57000000,9197.60000000
2020/07/16,9197.60000000,9226.15000000,9047.25000000,9133.72000000
2020/07/17,9133.72000000,9186.83000000,9089.81000000,9154.32000000
2020/07/18,9154.31000000,9219.30000000,9121.10000000,9170.28000000
2020/07/19,9170.30000000,9232.27000000,9101.35000000,9208.99000000
2020/07/20,9208.99000000,9221.52000000,9131.00000000,9160.78000000
2020/07/21,9160.78000000,9437.73000000,9152.80000000,9390.00000000
2020/07/22,9390.00000000,9544.00000000,9261.00000000,9518.16000000
2020/07/23,9518.16000000,9664.00000000,9440.33000000,9603.27000000
2020/07/24,9603.27000000,9637.00000000,9463.44000000,9537.80000000
2020/07/25,9538.10000000,9732.90000000,9513.00000000,9700.42000000
